20,4,1,10,115
24,4.5,1,20,123
30,5,2,30,128
32,5.5,2,50,151
38,6,3,40,143
40,6.5,4,40,155
45,6.8,3,50,156
48,6.9,5,60,159
50,7,4,70,159
55,7.5,6,50,161
58,9.5,7,60,161
60,9,8,70,173
62,10,8,60,159
66,12,5,60,172
70,15,6,70,175
73,15,6,60,172
75,16,7,70,176
78,16.4,6,70,179
80,17,7,80,178
82,17.9,6,80,179
86,18,9,80,188
90,18.4,8,90,188
95,19,6,90,191
100,20,10,90,191
110,21,7,60,175
120,21.2,9,80,186
130,21.8,9,90,193
140,21.9,10,100,199
145,22,8,80,187
160,22.4,9,100,201
